# 20130520
Q58255 tr Q256
Q8669146 frr Q28224
Q8570425 om Q33864
Q6112922 hak Q33375
Q8575467 ti Q34124
Q203488 hr Q6654
Q3568062 roa-tara Q695526
Q845993 ms Q9237
Q11918 el Q9129
Q8562529 frp Q15087
Q1034940 mrj Q1776032
Q4115463 ckb Q36811
Q11913 bg Q7918
Q595628 oc Q14185
Q3568051 nrm Q33850
Q58781 rue Q26245
Q3111179 co Q33111
Q169514 sv Q9027
Q966609 su Q34002
Q3696028 pnb Q58635
Q856881 myv Q29952
Q328 en Q1860
Q8563393 ha Q56475
Q1287192 bpy Q37059
Q1211233 als Q8786
Q14380 sl Q9063
Q877685 tl Q34057
Q2374285 arz Q29919
Q3944107 glk Q33657
Q6167360 ie Q35850
Q8559737 bm Q33243
Q60786 crh Q33357
Q58209 ba Q13389
Q11920 it Q652
Q11921 pt Q5146
Q2587255 sa Q11059
Q8566311 jbo Q36350
Q3026819 rm Q13199
Q206855 ru Q7737
Q8562927 ff Q33454
Q8565742 rn Q33583
Q191769 no Q9043
Q766705 af Q14196
Q3123304 mg Q7930
Q8575930 cbk-zam Q33281
Q2402143 hsb Q13248
Q718394 is Q294
Q3807895 gn Q35876
Q1066461 ht Q33491
Q191168 cs Q9056
Q192582 sk Q9058
Q8565801 kw Q25289
Q8575782 tum Q34138
Q199700 ar Q13955
Q8575674 ts Q34327
Q58172 kk Q9252
Q3239456 zh-min-nan Q36495
Q3112631 to Q34094
Q511754 tk Q9267
Q4783991 ce Q33350
Q4097773 bug Q33190
Q3311132 za Q13216
Q2349453 nn Q9043
Q1071918 ast Q29507
Q60799 ky Q9255
Q58215 cv Q33348
Q4614845 my Q9228
Q2081526 uz Q9264
Q1154766 io Q35224
Q8562502 fj Q5448174
Q8576190 ch Q33262
Q8561332 bi Q35452
Q8577029 ve Q32704
Q874555 ml Q36236
Q8568791 mwl Q13330
Q844491 ta Q7681417
Q7102897 or Q33810
Q8569757 nv Q13310
Q208533 sq Q8748
Q728945 lv Q9078
Q4115441 se Q33947
Q8562481 hif Q46728
Q58679 sh Q9301
Q3756562 lad Q36196
Q1648786 war Q34279
Q8570353 nov Q36738
Q3913095 iu Q29921
Q2328409 li Q102172
Q1178461 mdf Q13343
Q3568035 ab Q5111
Q8565463 kg Q33702
Q60819 tt Q25285
Q3957795 ace Q27683
Q8561277 bh Q135305
Q8571809 sn Q34004
Q3753095 na Q13307
Q8564352 kab Q35853
Q202472 lt Q37
Q8075204 zu Q10179
Q1378484 zh-classical Q37041
Q200386 sr Q9299
Q722040 hi Q1568
Q3568048 mzn Q13356
Q1444686 sco Q14549
Q3568039 fur Q33441
Q3568041 ksh Q32145
Q12237 la Q397
Q940309 szl Q30319
Q1291627 new Q33979
Q1377618 qu Q3573199
Q8572132 so Q13275
Q181163 da Q9035
Q4296423 min Q13324
Q1110233 wuu Q34290
Q3568066 eml Q242648
Q3568065 xh Q13218
Q3025527 am Q28244
Q3568063 tn Q34137
Q588620 pam Q36121
Q842341 mk Q9296
Q3568060 srn Q33989
Q200060 et Q9072
Q8571427 sm Q34011
Q4925786 nds Q168446
Q8565447 ks Q33552
Q1154741 ku Q36368
Q3568046 lij Q36104
Q13230970 nso Q33890
Q48183 de Q188
Q925661 kv Q36126
Q190551 eo Q143
Q30239 zh Q7850
Q6125437 gan Q33475
Q950058 lb Q9051
Q2602203 fy Q27175
Q8569951 arc Q28602
Q1754193 pa Q58635
Q3180306 gu Q5137
Q79633 gag Q33457
Q4372058 pnt Q36748
Q8575885 tw Q28026
Q8563863 ik Q27183
Q1132977 wa Q34219
Q3826575 ay Q4627
Q17985 ko Q9176
Q3477935 jv Q33549
Q3568056 pap Q33856
Q3568054 ps Q58680
Q875631 ga Q9142
Q3568059 sc Q33976
Q1968379 yi Q8641
Q8561552 ny Q33273
Q8563635 ig Q33578
Q8561415 bxr Q33120
Q5652665 av Q29561
Q225594 sah Q34299
Q8563685 ilo Q35936
Q8576237 chr Q33388
Q1249553 krc Q33714
Q4077512 map-bms Q33219
Q1067878 ur Q1617
Q8571954 si Q13267
Q2029239 xmf Q13359
Q565074 th Q9217
Q2742472 tg Q9260
Q3180091 mt Q9166
Q3568053 pcd Q34024
Q8562097 ee Q30005
Q8447 fr Q150
Q427715 bn Q9610
Q1055841 vec Q32724
Q841208 gl Q9307
Q8937989 be-x-old Q9091
Q8561491 chy Q33265
Q8449 es Q1321
Q1961887 bar Q29540
Q3568045 lo Q9211
Q3568044 km Q9205
Q2744155 nah Q13300
Q1047829 bs Q9303
Q3568040 stq Q27154
Q3568043 haw Q33569
Q3568042 kl Q25355
Q79636 kaa Q33541
Q2983979 bjn Q33151
Q53464 hu Q9067
Q3568049 mo Q36392
Q207260 eu Q8752
Q2073394 roa-rup Q29316
Q1551807 pl Q1551807
Q199693 ca Q7026
Q3756269 csb Q33690
Q221444 udm Q13238
Q547271 cu Q35499
Q8565518 rw Q33573
Q8561662 dz Q33081
Q199698 uk Q8798
Q848974 ka Q8108
# 276 entries
